epoch,lr,loss_total,loss_x,loss_s,loss_b,loss_tan,loss_c,loss_aff,loss_edge,gate_mean,affinity_proj_unfrozen,mask_ratio,mIoU,mIoU_ema,iou_background,iou_cystic_plate,iou_calot_triangle,iou_cystic_artery,iou_cystic_duct,iou_gallbladder,iou_tool,iou_background_ema,iou_cystic_plate_ema,iou_calot_triangle_ema,iou_cystic_artery_ema,iou_cystic_duct_ema,iou_gallbladder_ema,iou_tool_ema,keep_ratio_head,keep_ratio_body,keep_ratio_tail,keep_ratio_background,keep_ratio_cystic_plate,keep_ratio_calot_triangle,keep_ratio_cystic_artery,keep_ratio_cystic_duct,keep_ratio_gallbladder,keep_ratio_tool,pseudo_kept_background,pseudo_kept_cystic_plate,pseudo_kept_calot_triangle,pseudo_kept_cystic_artery,pseudo_kept_cystic_duct,pseudo_kept_gallbladder,pseudo_kept_tool,pseudo_total_background,pseudo_total_cystic_plate,pseudo_total_calot_triangle,pseudo_total_cystic_artery,pseudo_total_cystic_duct,pseudo_total_gallbladder,pseudo_total_tool
31,0.000032,0.056918,0.069331,0.044504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.779924,43.756671,44.588913,92.548009,5.771547,9.933604,1.768596,32.023426,79.674040,84.577477,92.797180,8.097249,11.293373,0.813923,35.428165,79.456551,84.235951,0.796209,0.114540,0.007069,0.839004,0.056210,0.007069,0.067889,0.147606,0.686710,0.805450,38484368,26026,405,13363,161553,12718589,5670540,45869112,463016,57289,196837,1094488,18521052,7040211
32,0.000031,0.067543,0.075862,0.059225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.779290,45.113960,44.702832,92.568139,8.455492,12.051496,2.766234,36.563683,79.046216,84.346461,92.820712,8.198782,11.805233,0.843721,35.435453,79.481603,84.334322,0.798763,0.126794,0.019580,0.836207,0.083149,0.019580,0.092661,0.152426,0.706863,0.805446,37067164,44955,1339,21503,187427,13146044,5942075,44327718,540657,68386,232060,1229626,18597718,7377373
33,0.000030,0.058128,0.074058,0.042197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.780012,44.497896,44.849135,93.238046,8.170533,6.093644,1.799428,36.108310,80.402469,85.672839,92.878949,8.496414,12.042947,0.831672,35.668264,79.586738,84.438961,0.797743,0.151507,0.003323,0.838171,0.101214,0.003323,0.090633,0.185282,0.685319,0.810716,38899506,52282,238,23513,229148,11998287,5747356,46409969,516551,71616,259431,1236753,17507592,7089237
34,0.000030,0.060288,0.072595,0.047980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.792899,45.993107,44.890270,92.946728,10.996276,13.652552,5.947899,33.227431,79.823632,85.357228,92.909114,8.547262,12.129095,0.907878,35.557561,79.654354,84.526625,0.807949,0.165790,0.014076,0.846502,0.103437,0.014076,0.110966,0.200655,0.710056,0.809422,38888792,43374,779,23221,216504,12920396,5575091,45940553,419327,55342,209263,1078987,18196306,6887740
35,0.000029,0.050770,0.063519,0.038022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.784229,45.052277,45.028198,93.076208,8.320780,10.813814,3.800832,34.318915,79.155759,85.879632,92.927922,8.821128,12.584488,0.933334,35.626671,79.654293,84.649551,0.803371,0.132998,0.028574,0.845058,0.089577,0.028574,0.124125,0.149924,0.695040,0.812403,38706125,41601,2152,31789,198744,12662096,5770058,45802912,464415,75313,256104,1325630,18217796,7102462
36,0.000029,0.050699,0.059725,0.041673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.797598,44.220649,45.142500,92.834759,6.207928,9.376304,0.257859,35.683694,79.458907,85.725091,92.944436,9.253010,12.672217,0.997756,35.729114,79.670479,84.730486,0.814937,0.157161,0.012779,0.854690,0.142343,0.012779,0.118521,0.170390,0.717415,0.797642,39398387,68131,808,25100,196740,12635861,5295505,46096709,478639,63231,211776,1154644,17613049,6638946
37,0.000028,0.052199,0.059978,0.044419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.789012,46.118720,45.315901,93.118427,13.485374,14.385506,0.262023,36.027675,79.816956,85.735083,92.981878,9.855972,12.954334,1.035997,35.831607,79.719304,84.832217,0.807309,0.193663,0.037564,0.843066,0.119003,0.037564,0.097368,0.236010,0.724590,0.803047,37259868,57134,3296,23420,328859,13568343,5901216,44195696,480104,87743,240531,1393411,18725543,7348529
38,0.000027,0.051593,0.062209,0.040978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.798930,46.078242,45.521089,93.256394,10.048481,11.724705,3.933934,38.129366,80.498180,84.956635,93.020819,10.282751,13.341080,1.118489,36.162271,79.765409,84.956806,0.818769,0.181348,0.012890,0.860167,0.151234,0.012890,0.101832,0.206727,0.714501,0.814439,40256430,87680,999,21743,280496,13071464,5625989,46800726,579762,77504,213518,1356840,18294544,6907806
39,0.000027,0.052824,0.059313,0.046335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.804324,47.179272,45.606922,93.659810,10.272382,15.576907,5.098500,38.118794,81.844342,85.684168,93.085040,10.495140,13.111059,1.236116,36.327482,79.943373,85.050242,0.821746,0.200043,0.026161,0.860287,0.155540,0.026161,0.134597,0.230831,0.728102,0.822949,38375207,79173,2109,31440,284459,13438271,6241644,44607457,509020,80616,233586,1232325,18456581,7584485
40,0.000026,0.053998,0.060237,0.047758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.802946,47.324744,45.736096,93.047881,12.419309,20.827234,2.168213,38.001164,79.454581,85.354826,93.110320,10.439954,13.637041,1.371573,36.449152,79.985349,85.159284,0.822072,0.210444,0.087904,0.859538,0.128063,0.087904,0.197669,0.248751,0.730676,0.832281,37995673,74331,9747,55014,333578,13795048,5658275,44204754,580423,110882,278314,1341012,18879855,6798519
